sentence_id	switched	subject_idx	subject	object_idx	object	verb	sentence
reviews-211797-0020	no	1	shops	11	owners	have	Other shops around this city have MUCH NICER and more TRANSPARENT owners .
reviews-211797-0007	no	3	person	8	company	call	Hmmm ... A person can not call a company , if you have no idea its name ( since the designer is unknown ... SUPPOSEDLY ) , and order a gown without a dress name or style number .
reviews-053248-0002	no	16	people	19	reviews	write	"The worst thing that can happen for any restaurant like Zahav is to have too many people write hyperbolic reviews making claims that "" everyone "" is going to "" love "" the food , decor and service ."
reviews-363685-0030	no	1	Inn	4	shower	touts	The Inn touts a shower with dual shower heads , but only one worked .
reviews-363685-0010	no	2	chambermaid	5	head	stuck	Finally a chambermaid stuck her head around the corner from the top of the stairs and told us sternly that we could not be accommodated until 3 M , no exceptions .
reviews-290594-0006	no	21	owners	25	expectations	have	But I 've done hundreds of dog introductions myself ( another place , I do n't work here ) , and owners can have unrealistic expectations and views of what they see when their dogs meet other dogs .
reviews-290594-0006	no	34	dogs	37	dogs	meet	But I 've done hundreds of dog introductions myself ( another place , I do n't work here ) , and owners can have unrealistic expectations and views of what they see when their dogs meet other dogs .
reviews-290594-0005	no	11	dog	17	opportunity	given	It 's unfortunate that bmil believed that his ' perfect ' dog was not given the right opportunity to prove himself .
reviews-026883-0010	no	54	nighstand	58	drawer	missing	Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
reviews-036133-0009	no	4	Ahmed	7	country	left	Then one day , Ahmed left the country , not to return for months , WITHOUT informing me .
reviews-018465-0012	no	0	Derrick	4	job	did	Derrick did a terrible job , was a complete jerk the entire time , and I had no warning as to the price .
reviews-018465-0011	no	8	receptionist	12	total	told	$ 400 later my jaw dropped when the receptionist told me the total .
reviews-220214-0004	no	23	guys	29	things	do	I feel that the way some doctor s offices work around here is a little bit absurd so I 'm happy that these guys do n't do those two things in particlular .
reviews-269560-0009	no	2	man	11	*ss	kiss	That little man who thinks he invented pizza can kiss my *ss .
reviews-018548-0014	no	9	deliciousness	17	pickup	warrants	Perhaps they do n't deliver anymore , but the deliciousness of a mezza luna certainly warrants a pickup .
reviews-216456-0004	no	1	friend	4	hotel	called	My friend called the hotel to cancel our room as soon as I called her .
reviews-326649-0007	no	0	Midas	6	equipment	has	Midas has the most high tech equipment in town & I guarantee you if they told you it was electrical then in deed it s electrical !
reviews-210066-0006	no	14	grinder	20	look	leave	Got the tile ripped out , call today , now all the sudden this grinder wo n't leave a finished look AND it 's $ 125 PLUS around $ 75 for the inserts .
reviews-183518-0012	no	1	mangers	6	movies	play	The mangers also play a classic movies on Sundays , you can get a beer in the lobby , and repeat customers can get discounts if they have a member card .
reviews-183518-0012	no	21	customers	24	discounts	get	The mangers also play a classic movies on Sundays , you can get a beer in the lobby , and repeat customers can get discounts if they have a member card .
reviews-183518-0006	no	1	theatre	7	neighborhood	improved	The theatre has greatly improved the surrounding neighborhood .
reviews-183518-0003	no	0	Bowtie	4	role	filled	Bowtie has filled that role nicely .
reviews-292841-0003	no	2	group	12	motel	rent	A large group of my friends and I rent almost the whole motel every year for a weekend , and the experience and stay have always been five - star .
reviews-225632-0009	no	4	FHS	8	opportunity	gives	The point is -- FHS gives you the opportunity to make it to a good college , but you need to work hard .
reviews-018562-0004	no	12	Mike	15	time	took	It was a very trying time for my family and myself yet Mike took the time to greet each and every one one of us .
reviews-018562-0002	no	5	Mike	9	job	did	I want to say that Mike did a great job for our family in our time of need .
reviews-091704-0004	no	3	engine	6	oil	had	Turns out the engine had no oil , and when oil was put it , it would just run out of the filter .
reviews-085980-0005	no	5	server	9	table	found	After our meal , our server found us a table in the jazz club where we were informed it would be another $ 10 / person to stay and listen to the band , despite the fact we had just finished a dinner there and were intending to enjoy their drink list .
reviews-349020-0011	no	2	advice	8	DEALER	TRUST	So my advice is that NEVER TRUST THIS DEALER .
reviews-349020-0002	no	12	window	15	leakage	has	The night I drove back home , I found that the rear window has some leakage .
reviews-310032-0010	no	3	BNA	6	day	offering	However , with BNA offering one day of free parking due to construction of the new rental car facility , it may be cheaper to park at BNA .
reviews-234261-0004	no	25	people	31	pets	had	We live in the sub-division around the corner and after it happened and we brought it up at some neighborhood gatherings we discovered that several people from this neighborhood alone had pets go to Dr. Mann for surgical procedures and came back dead .
reviews-121342-0003	no	1	menu	3	plenty	had	The menu had plenty of options even for picky eaters .
reviews-011257-0002	no	11	Johnette	14	phone	answered	I googled Garage Door Repair in Woodinville and found NDI - Johnette answered the phone and was oh - so pleasant and helpful !
reviews-365154-0002	no	0	Kelly	3	nail	hit	Kelly hit the nail on the head .
reviews-165143-0005	no	1	decor	4	lot	left	The decor left a lot to be desired and the posters telling me all the reasons 99 was great just served as an ironic contrast against the reality .
reviews-194316-0005	no	3	finger	6	bowel	licking	The food was finger licking the bowel fantastic ..
reviews-055976-0005	no	5	doctor	8	clue	has	I sincerely wonder if the doctor has a clue about what is going on within his practice .
reviews-055976-0001	no	1	staff	4	lot	leaves	The staff leaves a lot to be desired .
reviews-292997-0006	no	6	Alto	11	experience	give	While it 's not cheap , Alto will give you an experience you 'll never forget .
reviews-292997-0005	no	8	Alto	11	depth	has	Also , if you are into wine , Alto has the depth of both region , varietal , and vintage to satisfy nearly any sommelier ( or after 9 pm , bring your own bottle for free ... no corking fee ! ) .
reviews-122882-0002	no	0	Buddakan	4	majority	attracts	Buddakan inevitably attracts the majority of its guests simply because of its association with Steven Starr , but that does n't impress me .
reviews-280340-0001	no	1	girlfriend	6	chance	took	My girlfriend and I took a chance on this place because we did n't want to wait in line at Outback .
reviews-311987-0002	no	1	husband	5	bike	got	My husband just got a bike there as a gift he 's only had it a month .
reviews-369087-0003	no	5	roadside	8	vehicle	towed	My car broke down and roadside towed my vehicle to Sussman Kia .
reviews-023620-0003	no	2	experience	5	hotel	shows	The whole experience shows a hotel managed by what must be a 2 star hotel manager .
reviews-017345-0009	no	1	clerk	4	difficulty	had	Same clerk had considerable difficulty taking down a number .
reviews-389498-0001	no	1	place	6	job	done	This place has done a great job of taking care of the usual maintenance on my hooptie .
reviews-382073-0002	no	7	building	10	eye	caught	I came upon this store as the building caught my eye .
reviews-010433-0007	no	5	service	8	lot	means	Food was good , but service means a lot to me .
reviews-105518-0005	no	1	pup	5	temperment	has	My pup has a wonderful temperment and has been a wonderful addition to my family !
reviews-024385-0001	no	2	business	5	dust	bites	Another great business bites the dust !
reviews-366946-0005	no	2	menu	5	stuff	had	But the menu had standard stuff that one would get at a Belgian Tavern .
reviews-295727-0002	no	1	skylight	6	noise	making	My skylight was making a horrible noise when the wind blew .
reviews-009970-0005	no	5	Kevin	14	family	remember	Every time I go , Kevin , the manager , will always remember my family and I .
reviews-257296-0001	no	0	Course	5	way	come	Course has come a long way !!
reviews-354336-0002	no	6	chef	13	taste	offer	This French born , French trained chef and his creative partners offer a taste fresh , locally sourced , fabulously prepared food in the most unlikely of locations .
reviews-345455-0002	no	1	daughter	4	ballet	starting	My daughter is starting ballet this year for the first time .
reviews-285133-0001	no	0	Hair	7	hair	fixed	Hair By Nivine in eastgardens fixed my hair after i had my hair cut and colored at another salon i felt more confident and the girls are fantastic and i ve been going there now for 2 years always happy and they care about my hair had my hair done for my wedding it looked fabolous !
reviews-241855-0005	no	1	Brick	10	place	have	The Brick , Ikea , and Leon 's have their place .
reviews-201156-0003	no	37	folks	42	photos	do	Marek Dzida the owner and photographer puts whole heart in his business - If you are into old fashion ( Not Digital ) quality photography this is best place in Long Beach as I think not many folks can do affordable traditional photos anymore I know Marek personaly and I will always recommend him
reviews-303922-0003	no	1	team	7	car	kept	The team at Bradley Chevron kept my car running for well past its expected death !
reviews-024132-0002	no	0	Mark	11	job	did	Mark at Tintman Nationwide tints Ltd , did a very Professional job very quick , no fuss , deliverd the car to me and I drove him back home , Great arrangement Great price !!
answers-20111108104724AAuBUR7_ans-0082	no	0	MSU	3	lot	does	MSU does a lot of EPM studies because of how common it is here .
answers-20111108104724AAuBUR7_ans-0017	no	18	vet	23	exam	did	NO , I have not done an EPM test but have done an extensive blood panel and my vet did a neurological physical exam .
answers-20111108091921AAaLK4e_ans-0068	no	51	reply	55	call	give	Wow he does sound interested in you , my farrier never gives me hugs like that ( probably a good thing as he has a wife and 2 kids ) anyway , I find that they can be very busy so I would wait a week lo9nger and if still no reply give him a call but do n’t leave a message so you do n’t have to necessarily wait for him to call .
answers-20111108091921AAaLK4e_ans-0054	no	3	horses	5	Nails	Loose	I have seen horses Loose Nails On there Own And do just fine with ONE nail gone Now if he had left out 2 or 3 I would be wondering to ...
answers-20111108065616AAKtL2c_ans-0069	no	1	waiter	5	fact	grasped	Our waiter quickly grasped the fact that I like Ginger ale and rather spicy foods while my wife 's taste ran to lemonade and less spicy fare .
answers-20111108065616AAKtL2c_ans-0027	no	1	ship	3	variety	offers	The ship offers variety of eatables , deliciously made .
answers-20111108105520AA73Axw_ans-0056	no	0	Other	4	drop	add	Other will add a drop of Methylene blue .
answers-20111107175720AAlb2TB_ans-0012	no	0	Ireland	3	lot	receives	Ireland receives a lot of rain , with certain areas getting a soaking as many as 270 days of the year .
answers-20111108110012AAK8Azy_ans-0016	no	30	bulb	35	UVB	produce	The long tube UVB bulbs are best , like Zoomed 's Repsitun model : http://lllreptile.com/store/catalog/reptile-supplies/uvb-fluorescent-lights-mercury-vapor-bulbs/-/zoo-med-24-repti-sun-100-fluorescent-bulb/ Remember to replace UVB bulbs according to the manufacturer s recommendation after which time the bulb will no longer produce UVB even if visible light still is .
answers-20111108110012AAK8Azy_ans-0011	no	21	reptiles	28	types	require	"Let me try to break this down as simply as I can : diurnal ( active during the day time ) reptiles like the bearded dragon require 3 types of "" light , "" UVA , UVB , and heat ."
answers-20111107092617AAgKm4X_ans-0033	no	3	Nixon	6	promise	kept	In the end Nixon kept his promise for “ … peace with honor …. ”
answers-20111107092617AAgKm4X_ans-0010	no	2	Johnson	7	military	let	However , Johnson would not let the military cross the borders and clean out the Communist bases .
answers-20111107092617AAgKm4X_ans-0007	no	1	ARVN	7	problem	having	The ARVN was not having a big problem with the Local VC ( the guerilla movement ) , they were being challenged by the Main Force VC ( which was light infantry ) and the North Vietnamese Army ( NVA ) .
answers-20111108110329AAxl1pb_ans-0019	no	8	kitten	12	cheek	rub	this will do two things ; the new kitten will rub her cheek on the furniture in her room , making it her territory .
answers-20111108110329AAxl1pb_ans-0015	no	4	male	9	intruder	fighting	right now , your male is fighting off an intruder , and he feels that all of the house is his .
answers-20111108105629AAiZUDY_ans-0037	no	17	loss	23	beginning	signals	If the snake is not pregnant or shedding , and its enclosure is properly equipped , a loss of appetite probably signals a beginning of hibernation .
answers-20111108082831AAco5PI_ans-0028	no	0	Christiane	5	answer	gave	Christiane gave you a good answer .
answers-20111108105749AABv7vx_ans-0006	no	8	cat	12	territory	losing	you are not just moving house - your cat is losing his territory .
answers-20111107155912AAS93e5_ans-0025	no	4	menu	9	variety	had	We felt that the menu had a little more variety on the Mariner of the Seas .
