sentence_id	switched	subject_idx	subject	object_idx	object	verb	sentence
reviews-211797-0020	yes	1	owners	11	shops	have	Other owners around this city have MUCH NICER and more TRANSPARENT shops .
reviews-211797-0007	yes	3	company	8	person	call	Hmmm ... A company can not call a person , if you have no idea its name ( since the designer is unknown ... SUPPOSEDLY ) , and order a gown without a dress name or style number .
reviews-053248-0002	yes	16	reviews	19	people	write	"The worst thing that can happen for any restaurant like Zahav is to have too many reviews write hyperbolic people making claims that "" everyone "" is going to "" love "" the food , decor and service ."
reviews-363685-0030	yes	1	shower	4	Inn	touts	The shower touts a Inn with dual shower heads , but only one worked .
reviews-363685-0010	yes	2	head	5	chambermaid	stuck	Finally a head stuck her chambermaid around the corner from the top of the stairs and told us sternly that we could not be accommodated until 3 M , no exceptions .
reviews-290594-0006	yes	21	expectations	25	owners	have	But I 've done hundreds of dog introductions myself ( another place , I do n't work here ) , and expectations can have unrealistic owners and views of what they see when their dogs meet other dogs .
reviews-290594-0006	yes	34	dogs	37	dogs	meet	But I 've done hundreds of dog introductions myself ( another place , I do n't work here ) , and owners can have unrealistic expectations and views of what they see when their dogs meet other dogs .
reviews-290594-0005	yes	11	opportunity	17	dog	given	It 's unfortunate that bmil believed that his ' perfect ' opportunity was not given the right dog to prove himself .
reviews-026883-0010	yes	54	drawer	58	nighstand	missing	Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a drawer was missing a nighstand .
reviews-036133-0009	yes	4	country	7	Ahmed	left	Then one day , country left the Ahmed , not to return for months , WITHOUT informing me .
reviews-018465-0012	yes	0	job	4	Derrick	did	job did a terrible Derrick , was a complete jerk the entire time , and I had no warning as to the price .
reviews-018465-0011	yes	8	total	12	receptionist	told	$ 400 later my jaw dropped when the total told me the receptionist .
reviews-220214-0004	yes	23	things	29	guys	do	I feel that the way some doctor s offices work around here is a little bit absurd so I 'm happy that these things do n't do those two guys in particlular .
reviews-269560-0009	yes	2	*ss	11	man	kiss	That little *ss who thinks he invented pizza can kiss my man .
reviews-018548-0014	yes	9	pickup	17	deliciousness	warrants	Perhaps they do n't deliver anymore , but the pickup of a mezza luna certainly warrants a deliciousness .
reviews-216456-0004	yes	1	hotel	4	friend	called	My hotel called the friend to cancel our room as soon as I called her .
reviews-326649-0007	yes	0	equipment	6	Midas	has	equipment has the most high tech Midas in town & I guarantee you if they told you it was electrical then in deed it s electrical !
reviews-210066-0006	yes	14	look	20	grinder	leave	Got the tile ripped out , call today , now all the sudden this look wo n't leave a finished grinder AND it 's $ 125 PLUS around $ 75 for the inserts .
reviews-183518-0012	yes	1	movies	6	mangers	play	The movies also play a classic mangers on Sundays , you can get a beer in the lobby , and repeat customers can get discounts if they have a member card .
reviews-183518-0012	yes	21	discounts	24	customers	get	The mangers also play a classic movies on Sundays , you can get a beer in the lobby , and repeat discounts can get customers if they have a member card .
reviews-183518-0006	yes	1	neighborhood	7	theatre	improved	The neighborhood has greatly improved the surrounding theatre .
reviews-183518-0003	yes	0	role	4	Bowtie	filled	role has filled that Bowtie nicely .
reviews-292841-0003	yes	2	motel	12	group	rent	A large motel of my friends and I rent almost the whole group every year for a weekend , and the experience and stay have always been five - star .
reviews-225632-0009	yes	4	opportunity	8	FHS	gives	The point is -- opportunity gives you the FHS to make it to a good college , but you need to work hard .
reviews-018562-0004	yes	12	time	15	Mike	took	It was a very trying time for my family and myself yet time took the Mike to greet each and every one one of us .
reviews-018562-0002	yes	5	job	9	Mike	did	I want to say that job did a great Mike for our family in our time of need .
reviews-091704-0004	yes	3	oil	6	engine	had	Turns out the oil had no engine , and when oil was put it , it would just run out of the filter .
reviews-085980-0005	yes	5	table	9	server	found	After our meal , our table found us a server in the jazz club where we were informed it would be another $ 10 / person to stay and listen to the band , despite the fact we had just finished a dinner there and were intending to enjoy their drink list .
reviews-349020-0011	yes	2	DEALER	8	advice	TRUST	So my DEALER is that NEVER TRUST THIS advice .
reviews-349020-0002	yes	12	leakage	15	window	has	The night I drove back home , I found that the rear leakage has some window .
reviews-310032-0010	yes	3	day	6	BNA	offering	However , with day offering one BNA of free parking due to construction of the new rental car facility , it may be cheaper to park at BNA .
reviews-234261-0004	yes	25	pets	31	people	had	We live in the sub-division around the corner and after it happened and we brought it up at some neighborhood gatherings we discovered that several pets from this neighborhood alone had people go to Dr. Mann for surgical procedures and came back dead .
reviews-121342-0003	yes	1	plenty	3	menu	had	The plenty had menu of options even for picky eaters .
reviews-011257-0002	yes	11	phone	14	Johnette	answered	I googled Garage Door Repair in Woodinville and found NDI - phone answered the Johnette and was oh - so pleasant and helpful !
reviews-365154-0002	yes	0	nail	3	Kelly	hit	nail hit the Kelly on the head .
reviews-165143-0005	yes	1	lot	4	decor	left	The lot left a decor to be desired and the posters telling me all the reasons 99 was great just served as an ironic contrast against the reality .
reviews-194316-0005	yes	3	bowel	6	finger	licking	The food was bowel licking the finger fantastic ..
reviews-055976-0005	yes	5	clue	8	doctor	has	I sincerely wonder if the clue has a doctor about what is going on within his practice .
reviews-055976-0001	yes	1	lot	4	staff	leaves	The lot leaves a staff to be desired .
reviews-292997-0006	yes	6	experience	11	Alto	give	While it 's not cheap , experience will give you an Alto you 'll never forget .
reviews-292997-0005	yes	8	depth	11	Alto	has	Also , if you are into wine , depth has the Alto of both region , varietal , and vintage to satisfy nearly any sommelier ( or after 9 pm , bring your own bottle for free ... no corking fee ! ) .
reviews-122882-0002	yes	0	majority	4	Buddakan	attracts	majority inevitably attracts the Buddakan of its guests simply because of its association with Steven Starr , but that does n't impress me .
reviews-280340-0001	yes	1	chance	6	girlfriend	took	My chance and I took a girlfriend on this place because we did n't want to wait in line at Outback .
reviews-311987-0002	yes	1	bike	5	husband	got	My bike just got a husband there as a gift he 's only had it a month .
reviews-369087-0003	yes	5	vehicle	8	roadside	towed	My car broke down and vehicle towed my roadside to Sussman Kia .
reviews-023620-0003	yes	2	hotel	5	experience	shows	The whole hotel shows a experience managed by what must be a 2 star hotel manager .
reviews-017345-0009	yes	1	difficulty	4	clerk	had	Same difficulty had considerable clerk taking down a number .
reviews-389498-0001	yes	1	job	6	place	done	This job has done a great place of taking care of the usual maintenance on my hooptie .
reviews-382073-0002	yes	7	eye	10	building	caught	I came upon this store as the eye caught my building .
reviews-010433-0007	yes	5	lot	8	service	means	Food was good , but lot means a service to me .
reviews-105518-0005	yes	1	temperment	5	pup	has	My temperment has a wonderful pup and has been a wonderful addition to my family !
reviews-024385-0001	yes	2	dust	5	business	bites	Another great dust bites the business !
reviews-366946-0005	yes	2	stuff	5	menu	had	But the stuff had standard menu that one would get at a Belgian Tavern .
reviews-295727-0002	yes	1	noise	6	skylight	making	My noise was making a horrible skylight when the wind blew .
reviews-009970-0005	yes	5	family	14	Kevin	remember	Every time I go , family , the manager , will always remember my Kevin and I .
reviews-257296-0001	yes	0	way	5	Course	come	way has come a long Course !!
reviews-354336-0002	yes	6	taste	13	chef	offer	This French born , French trained taste and his creative partners offer a chef fresh , locally sourced , fabulously prepared food in the most unlikely of locations .
reviews-345455-0002	yes	1	ballet	4	daughter	starting	My ballet is starting daughter this year for the first time .
reviews-285133-0001	yes	0	hair	7	Hair	fixed	hair By Nivine in eastgardens fixed my Hair after i had my hair cut and colored at another salon i felt more confident and the girls are fantastic and i ve been going there now for 2 years always happy and they care about my hair had my hair done for my wedding it looked fabolous !
reviews-241855-0005	yes	1	place	10	Brick	have	The place , Ikea , and Leon 's have their Brick .
reviews-201156-0003	yes	37	photos	42	folks	do	Marek Dzida the owner and photographer puts whole heart in his business - If you are into old fashion ( Not Digital ) quality photography this is best place in Long Beach as I think not many photos can do affordable traditional folks anymore I know Marek personaly and I will always recommend him
reviews-303922-0003	yes	1	car	7	team	kept	The car at Bradley Chevron kept my team running for well past its expected death !
reviews-024132-0002	yes	0	job	11	Mark	did	job at Tintman Nationwide tints Ltd , did a very Professional Mark very quick , no fuss , deliverd the car to me and I drove him back home , Great arrangement Great price !!
answers-20111108104724AAuBUR7_ans-0082	yes	0	lot	3	MSU	does	lot does a MSU of EPM studies because of how common it is here .
answers-20111108104724AAuBUR7_ans-0017	yes	18	exam	23	vet	did	NO , I have not done an EPM test but have done an extensive blood panel and my exam did a neurological physical vet .
answers-20111108091921AAaLK4e_ans-0068	yes	51	call	55	reply	give	Wow he does sound interested in you , my farrier never gives me hugs like that ( probably a good thing as he has a wife and 2 kids ) anyway , I find that they can be very busy so I would wait a week lo9nger and if still no call give him a reply but do n’t leave a message so you do n’t have to necessarily wait for him to call .
answers-20111108091921AAaLK4e_ans-0054	yes	3	Nails	5	horses	Loose	I have seen Nails Loose horses On there Own And do just fine with ONE nail gone Now if he had left out 2 or 3 I would be wondering to ...
answers-20111108065616AAKtL2c_ans-0069	yes	1	fact	5	waiter	grasped	Our fact quickly grasped the waiter that I like Ginger ale and rather spicy foods while my wife 's taste ran to lemonade and less spicy fare .
answers-20111108065616AAKtL2c_ans-0027	yes	1	variety	3	ship	offers	The variety offers ship of eatables , deliciously made .
answers-20111108105520AA73Axw_ans-0056	yes	0	drop	4	Other	add	drop will add a Other of Methylene blue .
answers-20111107175720AAlb2TB_ans-0012	yes	0	lot	3	Ireland	receives	lot receives a Ireland of rain , with certain areas getting a soaking as many as 270 days of the year .
answers-20111108110012AAK8Azy_ans-0016	yes	30	UVB	35	bulb	produce	The long tube UVB bulbs are best , like Zoomed 's Repsitun model : http://lllreptile.com/store/catalog/reptile-supplies/uvb-fluorescent-lights-mercury-vapor-bulbs/-/zoo-med-24-repti-sun-100-fluorescent-bulb/ Remember to replace UVB bulbs according to the manufacturer s recommendation after which time the UVB will no longer produce bulb even if visible light still is .
answers-20111108110012AAK8Azy_ans-0011	yes	21	types	28	reptiles	require	"Let me try to break this down as simply as I can : diurnal ( active during the day time ) types like the bearded dragon require 3 reptiles of "" light , "" UVA , UVB , and heat ."
answers-20111107092617AAgKm4X_ans-0033	yes	3	promise	6	Nixon	kept	In the end promise kept his Nixon for “ … peace with honor …. ”
